dates,Temperature_Deviations
1925M06,-0.17
1925M07,-0.19
1925M08,0.10
1925M09,-0.05
1925M10,-0.06
1925M11,0.12
1925M12,0.32
1926M01,0.36
1926M02,0.31
1926M03,0.35
1926M04,0.14
1926M05,-0.10
1926M06,0.15
1926M07,0.04
1926M08,0.17
1926M09,0.12
1926M10,0.15
1926M11,0.14
1926M12,-0.05
1927M01,-0.01
1927M02,0.05
1927M03,-0.16
1927M04,-0.03
1927M05,0.07
1927M06,-0.08
1927M07,0.14
1927M08,0.01
1927M09,0.01
1927M10,0.21
1927M11,0.18
1927M12,-0.08
1928M01,0.24
1928M02,0.18
1928M03,-0.05
1928M04,0.14
1928M05,-0.08
1928M06,-0.26
1928M07,0.08
1928M08,0.01
1928M09,0.05
1928M10,0.01
1928M11,0.21
1928M12,0.09
1929M01,-0.14
1929M02,-0.25
1929M03,-0.20
1929M04,-0.18
1929M05,-0.28
1929M06,-0.22
1929M07,-0.16
1929M08,-0.18
1929M09,-0.13
1929M10,0.18
1929M11,0.07
1929M12,-0.41
1930M01,-0.02
1930M02,-0.14
1930M03,0.08
1930M04,0.05
1930M05,0.10
1930M06,0.03
1930M07,0.13
1930M08,0.01
1930M09,-0.06
1930M10,-0.07
1930M11,0.27
1930M12,0.12
1931M01,0.13
1931M02,-0.14
1931M03,0.12
1931M04,-0.01
1931M05,0.04
1931M06,0.19
1931M07,0.23
1931M08,0.24
1931M09,0.03
1931M10,0.21
1931M11,0.11
1931M12,0.26
1932M01,0.32
1932M02,0.01
1932M03,-0.01
1932M04,0.30
1932M05,-0.01
1932M06,-0.11
1932M07,0.03
1932M08,-0.10
1932M09,0.07
1932M10,0.25
1932M11,0.09
1932M12,-0.05
1933M01,-0.20
1933M02,-0.02
1933M03,-0.11
1933M04,-0.08
1933M05,-0.04
1933M06,-0.14
1933M07,-0.14
1933M08,-0.12
1933M09,-0.13
1933M10,-0.03
1933M11,-0.32
1933M12,-0.34
1934M01,-0.12
1934M02,-0.05
1934M03,-0.26
1934M04,-0.14
1934M05,0.18
1934M06,0.07
1934M07,0.09
1934M08,0.11
1934M09,0.09
1934M10,0.13
1934M11,0.32
1934M12,0.28
1935M01,-0.07
1935M02,0.33
1935M03,0.18
1935M04,-0.09
1935M05,-0.19
1935M06,-0.01
1935M07,-0.01
1935M08,-0.01
1935M09,-0.20
1935M10,0.11
1935M11,-0.22
1935M12,0.00
1936M01,-0.15
1936M02,-0.24
1936M03,-0.13
1936M04,0.14
1936M05,-0.06
1936M06,0.08
1936M07,0.26
1936M08,0.09
1936M09,0.03
