"Fechas","Producción interna de acero","Exportación de acero","Importación de acero","Disponibilidades de acero","Producción de cemento","Exportaciones de cemento","Importaciones de cemento","Estadísticas Generales. Consumo aparente de cemento"
"OCT 1997",1278,651.0,628.0,1255.0,2608.85,327.141,193.628,2624.88
"NOV 1997",1227,485.0,498.0,1240.0,2443.39,309.507,153.231,2097.03
"DIC 1997",1066,404.0,561.0,1223.0,2136.96,326.552,190.091,1898.49
"ENE 1998",1237,476.0,640.0,1401.0,1977.71,241.546,127.793,1964.00
"FEB 1998",1182,426.0,572.0,1328.0,2165.67,306.047,130.773,2161.94
"MAR 1998",1396,517.0,711.0,1590.0,2922.39,377.595,189.648,2733.52
"ABR 1998",1385,554.0,665.0,1496.0,2623.88,281.241,116.745,2415.39
"MAY 1998",1430,433.0,783.0,1780.0,2876.34,344.561,170.367,2573.01
"JUN 1998",1323,478.0,719.0,1564.0,2826.97,286.772,144.173,2805.10
"JUL 1998",935,403.0,671.0,1203.0,2997.79,290.851,199.431,3034.56
"AGO 1998",1203,261.0,446.0,1388.0,2979.73,271.015,147.542,2518.02
"SEP 1998",1257,401.0,705.0,1561.0,2712.32,289.142,174.739,2791.67
"OCT 1998",1388,485.0,580.0,1483.0,2950.43,299.054,162.925,2889.37
"NOV 1998",1102,380.0,740.0,1462.0,2845.47,236.444,142.151,2783.21
"DIC 1998",989,429.0,543.0,1103.0,2570.37,246.968,162.165,2320.30
"ENE 1999",1153,333.0,566.0,1386.0,2516.85,255.333,161.904,2315.41
"FEB 1999",1123,403.0,637.0,1357.0,2724.44,253.475,185.603,2724.18
"MAR 1999",1221,495.0,771.0,1497.0,3072.02,359.669,198.491,3152.77
"ABR 1999",1240,455.0,779.0,1564.0,3035.87,270.857,197.279,2900.10
"MAY 1999",1431,474.0,783.0,1740.0,3262.04,248.963,169.425,3037.35
"JUN 1999",1341,494.0,845.0,1692.0,3168.80,247.316,176.278,3177.58
"JUL 1999",1027,436.0,699.0,1290.0,3208.09,218.771,141.921,3091.30
"AGO 1999",1162,362.0,594.0,1394.0,2998.39,267.319,173.140,2747.87
"SEP 1999",1271,433.0,879.0,1717.0,2914.34,252.543,192.019,3028.06
"OCT 1999",1442,582.0,906.0,1766.0,3072.35,254.108,133.776,2803.22
"NOV 1999",1298,486.0,784.0,1596.0,2958.55,209.815,138.340,3090.98
"DIC 1999",1175,454.0,949.0,1670.0,2850.26,223.940,126.525,2558.16
"ENE 2000",1283,471.3,708.8,1520.8,2597.52,244.068,160.393,2601.04
"FEB 2000",1124,516.0,718.0,1326.4,3034.96,156.129,171.165,3167.39
"MAR 2000",1448,539.8,1047.6,1955.8,3473.68,262.248,208.566,3612.25
"ABR 2000",1385,490.5,789.2,1683.6,3183.17,194.877,155.432,2765.35
"MAY 2000",1486,531.3,889.1,1843.8,3182.43,168.564,215.140,3437.37
"JUN 2000",1371,514.4,904.8,1761.1,3193.51,138.207,240.383,3608.15
"JUL 2000",1060,435.5,776.2,1400.8,3475.24,177.483,228.627,3428.75
"AGO 2000",1332,460.6,551.2,1422.8,3160.34,150.476,256.856,3123.34
"SEP 2000",1304,495.0,687.8,1497.0,3090.25,153.539,208.569,3388.45
"OCT 2000",1455,583.1,848.2,1720.3,3299.61,161.628,160.892,3226.25
"NOV 2000",1330,510.7,746.4,1565.5,3210.52,139.544,184.925,3409.16
"DIC 2000",1171,563.0,647.6,1255.6,2883.31,99.762,188.229,2671.14
"ENE 2001",1332,496.5,667.9,1503.6,2800.14,130.578,142.015,3026.02
"FEB 2001",1283,511.5,856.5,1627.7,3058.00,97.370,199.139,3237.32
